Id,Coordonnee Lambert 93 X,Coordonnee Lambert 93 Y,coordonnees décimales longitude,coordonnees décimales latitude,Region,Departement,Commune,Nom de l'intervention,Nom du site,Date début,Date fin,Periode(s),Theme(s),Type intervention
INRAPI0105,"697237,73","7041955,12",2.9611455,50.4749976,Nord-Pas-de-Calais,Pas-de-Calais,Carvin,"Carvin, du Néolithique à l'Antiquité","Carvin, du Néolithique à l'Antiquité",2006-05-15,2006-10-15,#Néolithique#Protohistoire#Antiquité,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0106,"723235,809","6919622,384",3.3198658,49.3756944,Picardie,Aisne,Soissons,Caserne Gouraud (2),Caserne Gouraud (2),2004-06-02,2004-07-15,#Antiquité,,fouille
INRAPI0107,842048,6519536,4.8276269,45.7606329,Rhône-Alpes,Rhône,Sainte-Foy-lès-Lyon,Cathédrale Saint-Jean,Cathédrale Saint-Jean,2004-02-01,2004-07-30,#Moyen Âge,,fouille
INRAPI0108,434102,6280249,-0.2913892,43.5714209,Aquitaine,Landes,Miramont-Sensacq,Cazaou de Luc,Cazaou de Luc,2008-09-29,2008-11-21,#Protohistoire#Antiquité,#Cultes et pratiques funéraires,fouille
INRAPI0109,782879,6549464,4.071695,46.0398712,Rhône-Alpes,Loire,Roanne,"Centre ancien, place du Maréchal de Lattre de Tassigny","Centre ancien, place du Maréchal de Lattre de Tassigny",2004-09-06,2005-03-18,"#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0110,666419,6835790,2.5443831,48.6214288,Ile-de-France,Seine-et-Marne,Lieusaint,Centre commercial 2,Centre commercial 2,2006-09-04,2007-01-05,#Néolithique#Protohistoire#Antiquité,"#Habitats, architecture, édifices",fouille
INRAPI0111,623669,6650417,1.9963757,46.94959,Centre,Indre,Issoudun,Centre de l'image et du multimédia,Centre de l'image et du multimédia,2002-05-20,2002-09-06,"#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0112,648837,6885317,2.2998883,49.065671,Ile-de-France,Val-d'Oise,Baillet-en-France,Centre de vacances CNPO,Centre de vacances CNPO,,,"#Moderne, Contemporain","#Arts, biens de prestige#Organisation sociale et politique",fouille
INRAPI0113,791634,6509824,4.177247,45.6818302,Rhône-Alpes,Loire,Chambéon,Chambéon - Magneux 3500 d'occupation dans la plaine du Forez,Chambéon - Magneux 3500 d'occupation dans la plaine du Forez,2008-06-02,2009-05-29,#Protohistoire#Antiquité,,fouille
INRAPI0114,"721018,833","6525145,968",3.2707286,45.8256294,Auvergne,Puy-de-Dôme,Les Martres-d'Artière,Champ Chalatras,Champ Chalatras,2008-02-06,2008-07-04,#Néolithique#Protohistoire#Antiquité,,fouille
INRAPI0115,482693,6509611,0.2092501,45.6514801,Poitou-Charentes,Charente,Soyaux,Champ des Rochers,Champ des Rochers,2007-08-13,2007-11-16,#Néolithique#Antiquité,,fouille
INRAPI0116,"717113,089","6520647,161",3.2202601,45.7852276,Auvergne,Puy-de-Dôme,Pont-du-Château,Champ Lamet,Champ Lamet,2002-11-13,2002-12-13,#Antiquité,,fouille
INRAPI0117,"717167,956","6520700,489",3.2209682,45.7857064,Auvergne,Puy-de-Dôme,Pont-du-Château,Champ Lamet 6-Gefco,Champ Lamet 6-Gefco,,,#Néolithique,#Cultes et pratiques funéraires,fouille
INRAPI0118,"717292,914","6520815,611",3.2225807,45.7867399,Auvergne,Puy-de-Dôme,Pont-du-Château,Champ Lamet et Chambussière,Champ Lamet et Chambussière,2006-10-03,2006-12-22,#Néolithique,,fouille
INRAPI0119,492460,6775375,0.2142159,48.0458042,Pays de la Loire,Sarthe,Neuville-sur-Sarthe,Chapeau,Chapeau,,,#Antiquité,#Cultes et pratiques funéraires,fouille
INRAPI0120,"837738,401","6606778,328",4.797749,46.546916,Bourgogne,Saône-et-Loire,Martailly-lès-Brancion,Château,Château,2012-01-01,,#Moyen Âge,"#Habitats, architecture, édifices",fouille
INRAPI0121,"431883,951","6713804,704",-0.5606596,47.4701858,Pays de la Loire,Maine-et-Loire,Angers,Château d'Angers,Château d'Angers,,,#Néolithique#Protohistoire#Antiquité#Moyen Âge,"#Habitats, architecture, édifices",fouille
INRAPI0122,"355864,382","6689490,861",-1.5496428,47.2164613,Pays de la Loire,Loire-Atlantique,Nantes,Château des ducs de Bretagne (tour philippienne),Château des ducs de Bretagne (tour philippienne),2003-08-01,,#Moyen Âge,"#Habitats, architecture, édifices",fouille
INRAPI0123,567344,6289720,1.3547743,43.6940748,Midi-Pyrénées,Haute-Garonne,Seilh,Château Percin,Château Percin,2007-11-19,2008-06-13,#Néolithique,"#Habitats, architecture, édifices",fouille
INRAPI0124,844763,6427410,4.8350056,44.9307517,Rhône-Alpes,Ardèche,Saint-Péray,Chavas,Chavas,2003-06-30,2003-09-09,#Protohistoire,,fouille
INRAPI0125,694570,6963261,2.9246768,49.7682597,Picardie,Somme,Mesnil-Saint-Nicaise,Chemin Bezard,Chemin Bezard,,,#Antiquité,#Cultes et pratiques funéraires#Sciences et méthodes de l'archéologie,fouille
INRAPI0126,881056,6519336,5.3291784,45.7495879,Rhône-Alpes,Isère,Optevoz,Chemin de la Cure Bataillier,Chemin de la Cure Bataillier,2003-07-17,2003-07-21,#Moyen Âge#Autres périodes,,fouille
INRAPI0127,434160,6274344,-0.2876305,43.5183597,Aquitaine,Pyrénées-Atlantiques,Claracq,Chemin de la Lande,Chemin de la Lande,2008-04-21,2008-05-30,#Protohistoire,#Cultes et pratiques funéraires,fouille
INRAPI0128,"604375,361","7047575,41",1.6537132,50.5181345,Nord-Pas-de-Calais,Pas-de-Calais,Étaples,Chemin de la Motte Ouest,Chemin de la Motte Ouest,,,"#Moderne, Contemporain",#Archéologie des conflits,fouille
INRAPI0129,434594,6272369,-0.281255,43.5007683,Aquitaine,Pyrénées-Atlantiques,Claracq,Chemin des Thuyas,Chemin des Thuyas,2008-04-21,2008-06-13,#Protohistoire,#Cultes et pratiques funéraires,fouille
INRAPI0130,884414,6664200,5.4296757,47.0525047,Franche-Comté,Jura,Choisey,Choisey Les Champins,Choisey Les Champins,,,#Protohistoire#Antiquité,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0131,540440,6691060,0.8881487,47.300655,Centre,Indre-et-Loire,Athée-sur-Cher,Chomedormeau,Chomedormeau,2005-01-17,2005-04-29,#Néolithique#Protohistoire#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0132,574380,6278377,1.4447833,43.5933154,Midi-Pyrénées,Haute-Garonne,Toulouse,Cité Judiciaire,Cité Judiciaire,1999-06-01,2006-06-30,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0133,"524665,49","6701829,7",0.6752853,47.3935792,Centre,Indre-et-Loire,Tours,Clinique des Dames Blanches,Clinique des Dames Blanches,2010-05-03,2010-07-23,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Échange et transport#Habitats, architecture, édifices#Paysage et environnement#Peuplement, occupation espace",fouille
INRAPI0134,431843,6713374,-0.5609449,47.4662961,Pays de la Loire,Maine-et-Loire,Angers,Clinique Saint-Louis,Clinique Saint-Louis,2010-11-03,2010-09-30,#Antiquité,#Cultes et pratiques funéraires,fouille
INRAPI0135,652736,6861014,2.355952,48.8474355,Ile-de-France,Paris,Paris,Collège des Bernardins,Collège des Bernardins,,,,,fouille
INRAPI0136,"892000,229","6247004,17",5.3649876,43.2963256,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Collège du Vieux-Port,Collège du Vieux-Port,2005-01-03,2005-04-08,#Antiquité,"#Habitats, architecture, édifices",fouille
INRAPI0137,"892002,39","6247009,59",5.3650162,43.2963738,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Collège du Vieux-Port,Collège du Vieux-Port,,,#Protohistoire,"#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0138,929013,6686546,6.0280393,47.2396921,Franche-Comté,Doubs,Besançon,Collège Lumière,Collège Lumière,2003-11-01,2004-10-29,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0139,929013,6686536,6.0280342,47.2396021,Franche-Comté,Doubs,Besançon,Collège Lumière (1),Collège Lumière (1),2003-11-01,2004-10-29,#Antiquité,,fouille
INRAPI0140,929023,6686536,6.0281663,47.2395987,Franche-Comté,Doubs,Besançon,Collège Lumière (3),Collège Lumière (3),2003-11-01,2004-10-29,#Protohistoire#Antiquité,"#Arts, biens de prestige#Habitats, architecture, édifices",fouille
INRAPI0141,"892000,229","6247004,17",5.3649876,43.2963256,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Collège Vieux-Port,Collège du Vieux-Port,2005-03-01,2005-04-08,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0142,"891888,782","6247214,58",5.3636932,43.2982476,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Consigne sanitaire,Consigne sanitaire,2010-09-29,2010-10-07,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Industrie, artisanat",fouille
INRAPI0143,600257,6803857,1.6542173,48.3273817,Centre,Eure-et-Loir,Allonnes,Contournement,Contournement,,,#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Peuplement, occupation espace",fouille
INRAPI0144,"774236,537","6277568,953",3.9190335,43.5932889,Languedoc-Roussillon,Hérault,Montpellier,Contournement ferroviaire Nîmes-Montpellier - La Cavalade,Contournement ferroviaire Nîmes-Montpellier - La Cavalade,2013-04-01,2013-09-30,#Néolithique#Protohistoire#Antiquité#Moyen Âge,"#Habitats, architecture, édifices#Vie quotidienne, usages",fouille
INRAPI0145,858647,6440504,5.0151603,45.045564,Rhône-Alpes,Drôme,Romans-sur-Isère,Contournement nord-ouest de Romans,Contournement nord-ouest de Romans,2007-11-05,2008-03-11,#Protohistoire#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0146,"703677,975","7026102,61",3.0515892,50.3326813,Nord-Pas-de-Calais,Pas-de-Calais,Corbehem,CORBEHEM « rue de Gouy »,CORBEHEM « rue de Gouy »,2007-05-09,2007-06-15,#Protohistoire,"#Habitats, architecture, édifices",fouille
INRAPI0147,929875,6922112,6.164172,49.3570905,Lorraine,Moselle,Thionville,Cour des Capucins - fouille 2008,Cour des Capucins - fouille 2008,2008-03-25,2008-09-08,,,fouille
INRAPI0148,"635474,49","6856410,172",2.121451,48.8045364,Ile-de-France,Yvelines,Versailles,Cour du Grand Commun - Louis XIII aux origines du château de Versailles,Cour du Grand Commun - Louis XIII aux origines du château de Versailles,2007-03-19,2007-11-30,"#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0149,658893,6875686,2.4384261,48.9797958,Ile-de-France,Val-d'Oise,Gonesse,"Cours Baleine, ZAC entrée sud II","Cours Baleine, ZAC entrée sud II",2009-09-07,2009-11-15,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","#Agriculture, élevage#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat#Paysage et environnement#Organisation sociale et politique#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0150,686536,6863407,2.8164518,48.8705489,Ile-de-France,Seine-et-Marne,Magny-le-Hongre,Courtalin,Courtalin,2001-12-03,2002-02-28,#Protohistoire#Antiquité#Moyen Âge,,fouille
INRAPI0151,351830,6789740,-1.6813406,48.1151172,Bretagne,Ille-et-Vilaine,Rennes,Couvent des Jacobins,Couvent des Jacobins,,,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0152,"602037,46","7070804,428",1.6150695,50.7262073,Nord-Pas-de-Calais,Pas-de-Calais,Boulogne-sur-Mer,Crypte de la Basilique Notre-Dame de Boulogne-sur-Mer,Crypte de la Basilique Notre-Dame de Boulogne-sur-Mer,2011-01-01,2012-11-01,"#Antiquité#Moyen Âge#Moderne, Contemporain",#Cultes et pratiques funéraires#Organisation sociale et politique,fouille
INRAPI0153,459805,6266482,0.0328571,43.456817,Midi-Pyrénées,Hautes-Pyrénées,Maubourguet,Darré Bourg-Vieux,Darré Bourg-Vieux,2007-07-16,2007-08-17,#Moyen Âge,,fouille
INRAPI0154,470113,6860303,-0.1306238,48.8017846,Basse-Normandie,Orne,Ri,DB16013001,DB16013001,2007-06-04,2007-11-30,#Néolithique,,fouille
INRAPI0155,"1044768,201","6853679,893",7.6866753,48.6911583,Alsace,Bas-Rhin,Eckwersheim,De l'âge du Bronze à l'époque mérovingienne,De l'âge du Bronze à l'époque mérovingienne,2010-03-01,2010-05-12,#Protohistoire#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Habitats, architecture, édifices#Peuplement, occupation espace",fouille
INRAPI0156,"894518,425","6688043,285",5.5729437,47.2641745,Franche-Comté,Jura,Dammartin-Marpain,Des chasseurs-cueilleurs en Franche-Comté,Des chasseurs-cueilleurs en Franche-Comté,2008-10-09,2009-07-10,#Néolithique,,fouille
INRAPI0157,"650421,433","6977148,286",2.3105976,49.8911015,Picardie,Somme,Amiens,Des entrepôts et un théâtre gallo-romains à Amiens,Des entrepôts et un théâtre gallo-romains à Amiens,2006-09-15,2007-03-15,#Antiquité,"#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0158,1024400,6788000,7.3611223,48.111726,Alsace,Haut-Rhin,Colmar,Des inhumations en fosses-silos et deux colliers en cuivre du Néolithique,Des inhumations en fosses-silos et deux colliers en cuivre du Néolithique,2008-03-25,2008-05-23,#Néolithique,"#Agriculture, élevage#Arts, biens de prestige#Cultes et pratiques funéraires#Habitats, architecture, édifices#Vie quotidienne, usages",fouille
INRAPI0159,"736029,316","6918255,907",3.4958602,49.3628178,Picardie,Aisne,Vasseny,Dessus des Groins,Dessus des Groins,2002-10-07,2002-12-22,#Protohistoire,#Cultes et pratiques funéraires,fouille
INRAPI0160,"693000,0625","6976371,5",2.902675,49.8860289,Picardie,Somme,Barleux,"Dessus des Plates Pierres, Les Onze Polleux, Le Bois Crochette, Les Croix Noires et La Cloche","Dessus des Plates Pierres, Les Onze Polleux, Le Bois Crochette, Les Croix Noires et La Cloche",2010-09-13,2011-10-30,"#Protohistoire#Antiquité#Moderne, Contemporain","#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0161,617991,6756227,1.9023914,47.9013067,Centre,Loiret,Orléans,"Deuxième ligne de tramway, place de Gaulle","Deuxième ligne de tramway, place de Gaulle",2009-11-16,2010-04-23,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0162,618457,6756383,1.9085987,47.9027686,Centre,Loiret,Orléans,"Deuxième ligne de tramway, place de l'Étape","Deuxième ligne de tramway, place de l'Étape",2009-11-16,2010-03-26,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0163,617981,6756227,1.9022576,47.9013054,Centre,Loiret,Orléans,Deuxième ligne du tramway - Place de Gaulle,Deuxième ligne du tramway - Place de Gaulle,,,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices#Peuplement, occupation espace",fouille
INRAPI0164,"506370,539","6421344,152",0.5483013,44.8642166,Aquitaine,Dordogne,Creysse,Déviation de la R.N. 21,Déviation de la R.N. 21,,,"#Paléolithique, Mésolithique#Néolithique","#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0165,"1037695,217","6855232,802",7.5919724,48.7088373,Alsace,Bas-Rhin,Gougenheim,D'exceptionnelles sépultures du Néolithique récent,D'exceptionnelles sépultures du Néolithique récent,2000-08-01,2009-12-31,#Néolithique,#Cultes et pratiques funéraires,fouille
INRAPI0166,"1047480,684","6818949,519",7.6954205,48.3778381,Alsace,Bas-Rhin,Gerstheim,Domaine de Bancalis,Domaine de Bancalis,2003-03-04,2003-03-17,#Protohistoire,,fouille
INRAPI0167,"639260,556","6852054,634",2.173617,48.7657335,Ile-de-France,Yvelines,Jouy-en-Josas,Domaine du Montcel,Domaine du Montcel,2010-05-31,2010-06-10,"#Moderne, Contemporain","#Arts, biens de prestige",fouille
INRAPI0168,"634079,203","6867141,067",2.1007912,48.9008945,Ile-de-France,Yvelines,Saint-Germain-en-Laye,Domaine national : Petite Terrasse et Grand rond-point,Domaine national : Petite Terrasse et Grand rond-point,,,"#Moderne, Contemporain",#Paysage et environnement,fouille
INRAPI0169,430368,6268290,-0.3313139,43.4625106,Aquitaine,Pyrénées-Atlantiques,Auriac,Duclos,Duclos,2008-04-02,2008-06-27,"#Paléolithique, Mésolithique#Antiquité","#Industrie, artisanat",fouille
INRAPI0170,938227,6558676,6.0837502,46.0859948,Rhône-Alpes,Haute-savoie,Présilly,Eccorçon-Les Murailles,Eccorçon-Les Murailles,2005-10-01,2006-03-30,,,fouille
INRAPI0171,"619624,564","7004320,804",1.8770328,50.1319737,Picardie,Somme,Caours,Eclipse,Eclipse,,,"#Paléolithique, Mésolithique","#Industrie, artisanat#Paysage et environnement#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0172,636624,6889325,2.1321757,49.1006161,Ile-de-France,Val-d'Oise,Hérouville,Église Saint-Clair,Église Saint-Clair,2003-03-01,2004-01-01,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0173,659556,6876592,2.4473966,48.9879846,Ile-de-France,Val-d'Oise,Gonesse,Église Saint-Pierre-et-Saint-Paul,Église Saint-Pierre-et-Saint-Paul,2013-01-14,,"#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0174,448620,6911591,-0.4534914,49.2544989,Basse-Normandie,Calvados,Thaon,Éléazar,Éléazar,2002-01-20,2002-01-24,#Protohistoire,,fouille
INRAPI0175,636357,6280730,2.2117123,43.6227598,Midi-Pyrénées,Tarn,Castres,Empy Neuf,Empy Neuf,2004-10-11,2004-10-29,"#Protohistoire#Antiquité#Moderne, Contemporain",,fouille
INRAPI0176,608413,6246715,1.8716556,43.3137048,Languedoc-Roussillon,Aude,Mas-Saintes-Puelles,En Courdelle,En Courdelle,2003-11-25,2003-11-26,#Moyen Âge,,fouille
INRAPI0177,"1176503,61","6109391,62",8.7376097,41.9293271,Corse,Corse-du-Sud,Ajaccio,Espace Alban,Espace Alban,2005-03-14,2005-06-10,#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0178,"892422,458","6247136,226",5.3702342,43.2973992,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Espace Bargemon,Espace Bargemon,2002-03-25,2003-06-25,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0179,938695,6671919,6.148216,47.1047,Franche-Comté,Doubs,Ornans,Espace Courbet,Espace Courbet,2002-05-28,2002-06-10,#Moyen Âge,,fouille
INRAPI0180,931370,6895309,6.1699253,49.1157886,Lorraine,Moselle,Metz,Esplanade,Esplanade,2006-01-16,2006-03-01,,,fouille
INRAPI0181,"892034,951","6247399,557",5.3655609,43.2998714,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Esplanade de la Major,Esplanade de la Major,2008-03-01,2009-01-31,#Antiquité,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0182,"892034,951","6247399,557",5.3655609,43.2998714,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Esplanade de la Major ,Esplanade de la Major,2008-03-01,2008-11-01,#Néolithique#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0183,"892034,951","6247399,557",5.3655609,43.2998714,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Esplanade Major,Esplanade de la Major,2008-09-11,2008-12-19,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices#Peuplement, occupation espace",fouille
INRAPI0184,508067,6318471,0.6091945,43.9390896,Midi-Pyrénées,Gers,Lectoure,Estoube,Estoube,2010-02-16,2010-04-09,#Protohistoire#Antiquité,"#Habitats, architecture, édifices",fouille
INRAPI0185,"699660,604","6992026,16",2.9952681,50.0266866,Picardie,Somme,Étricourt-Manancourt,Etricourt-Manancourt,Etricourt-Manancourt,,,"#Paléolithique, Mésolithique","#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0186,798605,6651724,4.2967254,46.9584353,Bourgogne,Saône-et-Loire,Autun,Faubourg d'Arroux,Faubourg d'Arroux,,,#Antiquité,"#Habitats, architecture, édifices#Industrie, artisanat#Vie quotidienne, usages",fouille
INRAPI0187,"722228,249","6883219,838",3.3040661,49.0484689,Picardie,Aisne,Essômes-sur-Marne,Ferme de La Cense,Ferme de La Cense,2001-10-16,2002-06-30,"#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0188,919300,6879500,5.9965063,48.977985,Lorraine,Meurthe-et-Moselle,Prény,Ferme de Tautecourt,Ferme de Tautecourt,2002-01-02,2003-02-28,#Néolithique#Protohistoire#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0189,"1036592,506","6826291,89",7.5543383,48.4495147,Alsace,Bas-Rhin,Meistratzheim,Foegel - Meistratzheim,Foegel - Meistratzheim,2007-03-05,2007-06-01,#Néolithique#Protohistoire,,fouille
INRAPI0190,"900675,14","6263939,79",5.4783187,43.4462164,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Gardanne,Font-de-Garach,Font-de-Garach,2005-05-17,2005-06-09,#Antiquité#Autres périodes,,fouille
INRAPI0191,1045419,6836607,7.6817571,48.5375092,Alsace,Bas-Rhin,Geispolsheim,Forlen,Forlen,2003-10-20,2003-11-18,#Protohistoire#Moyen Âge,,fouille
INRAPI0192,"1001920,97","6266615,53",6.7287079,43.4344788,Provences-Alpes-Côte-d'Azur,Var,Fréjus,Fouille de l'amphithéâtre,Fouille de l'amphithéâtre,2006-04-01,2007-02-28,"#Antiquité#Moderne, Contemporain",,fouille
INRAPI0193,359520,6925856,-1.6866852,49.341298,Basse-Normandie,Manche,Portbail,Genestel,Genestel,2012-05-29,2012-08-03,#Antiquité,"#Habitats, architecture, édifices",fouille
INRAPI0194,"680551,2984","7018705,466",2.7275613,50.2659753,Nord-Pas-de-Calais,Pas-de-Calais,Dainville,Gérico,Gérico,2005-02-21,2005-06-17,"#Protohistoire#Antiquité#Moderne, Contemporain",,fouille
INRAPI0195,"715365,463","6512709,603",3.1975113,45.7137927,Auvergne,Puy-de-Dôme,Le Cendre,Gondole,Gondole,2003-03-21,2003-04-22,#Protohistoire,,fouille
INRAPI0196,742800,6823500,3.5794698,48.5103336,Champagne-Ardenne,Aube,Pont-sur-Seine,Gravières,Gravières,2007-02-12,2007-08-21,#Protohistoire#Antiquité#Moyen Âge,,fouille
INRAPI0197,"566708,49","6221555,68",1.3644033,43.080867,Midi-Pyrénées,Ariège,Le Mas-d'Azil,Grotte du Mas d'Azil,Grotte du Mas d'Azil,,,"#Paléolithique, Mésolithique","#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0198,408340,6766890,-0.9077051,47.9374368,Pays de la Loire,Mayenne,Cossé-le-Vivien,Guinefolle (2),Guinefolle (2),2004-03-01,2004-04-30,#Protohistoire#Antiquité#Moyen Âge#Autres périodes,,fouille
INRAPI0199,779930,6800170,4.0778141,48.2969485,Champagne-Ardenne,Aube,Troyes,Habitat antique et tannerie médiévale,Habitat antique et tannerie médiévale,2010-03-01,,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0200,693215,6806385,2.908405,48.3577381,Ile-de-France,Seine-et-Marne,Ville-Saint-Jacques,Hameau gaulois et <I>villa</I> romaine à Ville-Saint-Jacques,Hameau gaulois et <I>villa</I> romaine à Ville-Saint-Jacques,2007-07-23,2007-09-21,#Protohistoire#Antiquité,,fouille
INRAPI0201,657897,6868292,2.4255548,48.9132428,Ile-de-France,Seine-Saint-Denis,Bobigny,Hôpital Avicenne,Hôpital Avicenne,2002-10-15,2003-05-31,#Protohistoire,,fouille
INRAPI0202,525011,6701461,0.6800073,47.390353,Centre,Indre-et-Loire,Tours,Hôpital Clocheville,Hôpital Clocheville,2003-01-01,2003-12-31,#Protohistoire#Antiquité#Moyen Âge,"#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices#Peuplement, occupation espace",fouille
INRAPI0203,691025,6177436,2.8906038,42.6964767,Languedoc-Roussillon,Pyrénées-Orientales,Perpignan,Hôpital militaire,Hôpital militaire,2003-03-10,2003-04-04,"#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0204,380287,6570496,-1.1448899,46.1587477,Poitou-Charentes,Charente-Maritime,La Rochelle,"Hôpital protestant, rue du Docteur Schweitzer","Hôpital protestant, rue du Docteur Schweitzer",2009-11-29,2010-03-26,"#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0205,525467,6701604,0.6859939,47.3917602,Centre,Indre-et-Loire,Tours,Hôtel de police Nord,Hôtel de police Nord,2001-11-01,2002-04-30,#Antiquité#Moyen Âge,"#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0206,"892383,174","6247227,271",5.3697842,43.2982284,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Hôtel Dieu 6 Place Daviel II,Hôtel-Dieu (place Daviel),2010-02-28,2010-01-01,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0207,"892383,174","6247227,271",5.3697842,43.2982284,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Hôtel-Dieu (place Daviel et rue des Belles-écuelles),Hôtel-Dieu (place Daviel),2005-01-03,2005-04-08,"#Paléolithique, Mésolithique#Antiquité#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0208,"618353,505","6755649,776",1.9073494,47.8961576,Centre,Loiret,Orléans,Ile de Loire entre duit Saint Charles et le pont George V,Ile de Loire entre duit Saint Charles et le pont George V,2012-09-16,2012-11-05,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","#Agriculture, élevage#Habitats, architecture, édifices#Paysage et environnement#Peuplement, occupation espace",fouille
INRAPI0209,933590,6849170,6.174905,48.7004043,Lorraine,Meurthe-et-Moselle,Nancy,Îlot Berger-Levrault,Îlot Berger-Levrault,,,"#Moderne, Contemporain",#Cultes et pratiques funéraires,fouille
INRAPI0210,"977408,75",6391208,6.494439,44.564697,Provences-Alpes-Côte-d'Azur,Hautes-Alpes,Embrun,Îlot du Théâtre,Îlot du Théâtre,2007-11-30,2008-12-01,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
