"TCP ID","Author","Title","Date","Imprint","Lang.","Keywords","ESTC","STC/Wing"
"A42544","Gearing, William.","A caveat to the standing Christian, and to him that thinketh he standeth by William Gearing ...","1666.","Printed for John Crook ...,","eng","Christian life -- Early works to 1800. Conduct of life -- Early works to 1800.","R14121","G433"
"A42820","Glanvill, Joseph, 1636-1680.","A philosophical endeavour towards the defence of the being of vvitches and apparitions. In a letter to the much honoured, Robert Hunt, esq; by a member of the Royal Society.","1666.","printed for J. Grismond for James Collins, at the King's Arms in Ivy-Lane,","eng","Witchcraft -- England -- Early works to 1800.","R223679","G817A"
"A43020","Harvey, Gideon, 1640?-1700?","Morbus anglicus: or, The anatomy of consumptions Containing the nature, causes, subject, progress, change, signes, prognosticks, preservatives; and several methods of curing all consumptions, coughs, and spitting of blood. With remarkable observations touching the same diseases. To which are added, some brief discourses of melancholy, madness, and distraction occasioned by love. Together with certain new remarques touching the scurvy and ulcers of the lungs. The like never before published. By Gideon Harvey, M.D.","1666.","printed for Nathaniel Brook at the Angel in Cornhil,","eng","Tuberculosis -- Early works to 1800.","R221901","H1070"
"A43177","Head, Richard, 1637?-1686?","The Red-Sea, or, The description of a most horrid, bloody, and never yet paralel'd sea-fight between the English & Dutch with an elegy on that truly valiant and renowned commander, Sir Christopher Minnes, who died in the bed of honour, in defence of his king and countrey / by R.H.","1666.","Printed by Peter Lillicrap ...,","eng","Minnes, Christopher, -- Sir. Netherlands -- History, Naval.","R21634","H1275"
"A43741","Hieron, Samuel, 1576?-1617.","Fair-play on both sides: or, the surest way to heaven Discovered in a dispute between a Roman-Catholick, and a Protestant.","1666.","printed for Richard Head, at the Heart and Bible in Little-Brittain,","eng","Catholics -- England -- Controversial literature -- Early works to 1800.","R224206","H1943"
"A43979","Hobbes, Thomas, 1588-1679.","Ad nobilissimum dominum Gulielmum comitem Devoniæ, &c., de mirabilibus pecci carmen Thomæ Hobbes, 1666","1666?]","s.n.,","lat","English poetry -- Early modern, 1500-1700.","R20159","H2222"
"A44061","Hodges, Nathaniel, 1629-1688.","Vindiciæ medicinæ & medicorum: or An apology for the profession and professors of physick In answer to the several pleas of illegal practitioners; wherein their positions are examined, their cheats discovered, and their danger to the nation asserted. As also an account of the present pest, in answer to a letter. By Nath. Hodges, M.D. Coll. Lond.","1666.","printed by J.F. for Henry Brome,","eng","Medicine -- Early works to 1800. Plague -- England -- London -- Early works to 1800.","R215271","H2308"
"A44334","Hooker, Richard, 1553 or 4-1600.","The works of Mr. Richard Hooker (that learned and judicious divine), in eight books of ecclesiastical polity compleated out of his own manuscripts, never before published : with an account of his life and death ...","1666.","Printed by Thomas Newcomb for Andrew Crook ...,","eng","Hooker, Richard, 1553 or 4-1600. Church of England -- Apologetic works.","R11910","H2631"
"A44478","Horace.","The poems of Horace consisting of odes, satyres, and epistles / rendred in English verse by several persons.","M. DC. LXVI [1666]","Printed by E. Cotes for Henry Brome ...,","eng","Horace.","R43263","H2781"
"A44594","Hough, Roger.","A wonder of wonders: or, Gods people the worlds wonder, or They are men wondred at very profitable for these times, wherein men take so much liberty to sin and dishonour our God. Written by Roger Hough a lover of the truth.","1666.","printed for T. Passenger at the Three Bibles on the middle of London-Bridge,","eng","Christian life -- Early works to 1800.","R215376","H2915"
"A44627","Howard, Edward, fl. 1669.","A panegyrick to His Highnesse the Duke of York on his sea-fight with the Dutch June 3d, 1665 by the honourable Edward Howard.","1666.","Printed for Henry Herringman,","eng","James -- II, -- King of England, 1633-1701 -- Poetry.","R29440","H2971"
"A44801","Howgill, Francis, 1618-1669.","Oaths no gospel ordinance but prohibited by Christ being in answer to A. Smallwood, D.D. to his book lately published, being a sermon preached at Carlile, 1664, wherein he hath laboured to prove swearing lawful among Christians, his reasons and arguments are weighed and answered, and the Doctrines of Christ vindicated against the conceptions and interpretations of men, who would make it void / by a sufferer for Christ and his doctrine, F.H.","1666.","s.n.],","eng","Smallwood, Allan, 1608-1686. -- Sermon preached at Carlisle, Aug. 17, 1664. Oaths -- England -- Early works to 1800.","R16291","H3174"
"A44879","","A Hue and cry after the Dutch fleet, or, Joyful congratulations for our late victory.","1666.","Printed by L. Miller, for Richard Head,","eng","Anglo-Dutch War, 1664-1667 -- Poetry.","R25548","H3288"
"A44938","Hall, George, 1612?-1668.","A fast-sermon, preached to the Lords in the High-Court of Parliament assembled on the day of solemn humiliation for the continuing pestilence, Octob. 3, 1666 and by their order published by George, Lord Bishop of Chester.","1666.","Printed for Timothy Garthwait,","eng","Bible. -- O.T. -- Psalms VII, 9 -- Sermons. Fast-day sermons.","R228","H335"
"A45064","","The Humble petition of the poor distressed prisoners in the Compter at Bishops-gate","one thousand and six hundred sixty and six [1666]","Printed by J.F.,","eng","Prisoners -- Health and hygiene -- England -- Early works to 1800. Correctional institutions -- England -- London.","R30355","H3571"
"A45206","Hunter, Josiah, minister in York.","The dreadfulness of the plague. Or A sermon preached in the parish-church of St. John the Evangelist, December 6th. being a day of public fasting. By Jos. Hunter M.A. and minister in York","1666.","printed by Stphen Bulkley, and are to be sold by Francis Mawbarne,","eng","Sermons, English -- 17th century. Plague -- England -- Sermons -- Early works to 1800.","R219103","H3766"
"A45529","P. H. (Peter Hardcastle), d. 1693.","A short relation of what is believed amongst the people of God touching the divers points of religion. 1. Concerning the Word of God, the fall of man, and restauration by Christ. 2. Concerning the Scriptures. 3. Concerning faith, love and works. 4. Concerning baptism and the Lords Supper. 5. Concerning the Sabbath. 6. Concerning tythes. 7. Concerning swearing. Although many of the servants of God have born a large testimony in these latter dayes, in which the Lord is establishing the mountain of his own house a top of all mountains, Isaiah 2. 2. ... therefore in love to the truth, and in the motion of the gift received, I give my testimony of these things in the year 1666. Peter Hardcastle.","1666]","s.n.,","eng","Society of Friends -- Apologetic works -- Early works to 1800. Dissenters, Religious -- England -- Early works to 1800.","R221273","h697a"
"A45552","Hardy, Nathaniel, 1618-1670.","Lamentation, mourning, and woe sighed forth in a sermon preached in the parish-church of St. Martin in the Fields, on the 9th day of September : being the next Lords-day after the dismal fire in the city of London / by Nath. Hardy ...","1666.","Printed by Tho. Newcomb for William Grantham,","eng","Bible. -- N.T. -- Luke XIX, 41 -- Sermons. Fires -- England -- London.","R281","H728"
"A45620","J. H., lover of truth.","A treatise of the great antidote of Paracelsus, Van Helmont, Croulius, and by them called the elixir proprietatis shewing the true way of preparing of it, and the wonderfull cures they have performed thereby. And also this authours experience thereof. Written by J. H. a lover of truth, and made publique for the good of all that stand in need thereof.","1666.","printed for the authour,","eng","Paracelsus, 1493-1541 -- Early works to 1800. Helmont, Jean Baptiste van, 1577-1644 -- Early works to 1800.","R221259","H81A"
"A46030","Ireland. Lord Lieutenant (1661-1668 : Ormonde).","By the Lord Lieutenant General and General Governour of Ireland for special reasons conducing to His Majesties service, we do hereby require and command all officers of His Majesties army ...","1666.","Printed by John Crook ... and are to be sold by Samuel Dancer ...,","eng","Ireland -- History -- 1660-1688. Ireland -- Politics and government -- 17th century.","R213903","I403"
"A46046","Ireland. Parliament.","Ordered upon the question (nemine contradicente) that this House do agree to the report of their committee, containing their several objections against the bill, intituled, An Act of Free and General Pardon, Indempnity and Oblivion ... by the knights, citizens, and burgesses assembled in Parliament.","1666.","Printed by John Crook ... and are to be sold by Samuel Dancer ...,","eng","Ireland -- History -- 1649-1775. Ireland -- Politics and government -- 17th century.","R36840","I426AA"
"A46071","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","A proclamation for publishing an act of Parliament, intituled, An Act for the Advancement of the Trade of Linen Manufacture, and for remitting the penalties thereby incurred, and for inlarging several periods of time in the said act contained by the Lord Lieutenant and Council.","1666.","Printed by John Crook ... and are to be sold by Samuel Dancer ...,","eng","Linen industry -- Ireland. Ireland -- History -- 1649-1775.","R36844","I625"
"A46087","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","We the Lord Lieutenant and Council, do order, command and proclaim publick humiliation, fasting and prayers to be observed in all the parts and parishes within this kingdom, that is to say, in the city of Dublin and suburbs thereof on Wednesday the twentieth day of this moneth of June, and on Wednesday the seven and twentieth day of the said moneth, in and throughout the whole kingdom ... by the Lord Lieutenant and Council, Ormonde.","1666]","J. Crooke,","eng","Ireland -- History -- 1649-1775. Ireland -- Politics and government -- 17th century.","R36853","I678"
"A46108","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","Whereas by an act made in the last session of the late Parliament held in this kingdom intituled, an Act for the Better Ordering the Selling of Wines and Aquivitæ ... by the Lord Lieutenant and Council, Ormonde.","1666.","Printed by John Crook ... and are to be sold by Samuel Dancer ...,","eng","Liquor laws -- Ireland. Ireland -- History -- 1649-1775.","R36827","i724"
"A46137","Ireland. Lord Lieutenant (1641-1649 : Ormonde)","Whereas Dualtagh alias Dudy Costelo, Edmund Nagle commonly called Cornet Nangle, Christopher Hill, Thomas Plunket, Cahel alias Charles MacCawell and Neil o Neil and their complices have in the counties of Meath, Tyrone, Monagham, Fermangah, Longford, Leitrim, Cavan and other places appeared in armes against His Majesties authority ... by the Lord Lieutenant and Council, Ormonde.","1666.","Printed by John Crook ...,","eng","Ireland -- History -- 1660-1688 -- Sources. Broadsdes -- Ireland -- Dublin (Dublin) -- 17th century","R399","I775"
"A46148","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","Whereas in an act passed in the late Parliament, intituled, an Act for Setling the Subsidy of Poundage, and Granting a Subsidy of Tunnage, and other sums of money, unto His Royal Majestie ... by the Lord Lieutenant and Council, Ormonde.","1666 [1667]","Printed by John Crooke ... and are to be sold by Samuel Dancer ...,","eng","Tariff -- Law and legislation -- Ireland. Tonnage fees -- Ireland.","R36893","i816"
"A46152","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","Whereas in the tenth year of the reign of His Majesties royal father King Charles the First of ever blessed memory, there was an act of Parliament made and passed in this kingdom of Ireland ... by the Lord Lieutenant and Council, Ormonde.","1666.","Printed by John Crook ... and are to be sold by Samuel Dancer ...,","eng","Fish trade -- Law and legislation -- Ireland. Ireland -- History -- 1649-1775.","R36894","i830"
"A46193","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","Whereas the sins of prophane swearing and cursing are offenses forbidden by the word of God, and do highly provoke his wrath, not onely against the persons that are guilty thereof but also against the place where such crimes are permitted to pass unpunished ... by the Lord Lieutenant and Council, Ormonde.","1665 [1666]","Printed by John Crooke ... and are to be sold by Samuel Dancer ...,","eng","Blasphemy -- Ireland. Ireland -- History -- 1649-1775.","R36952","i941"
"A46196","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","Whereas upon the French Kings declaring warr against His Majestie and his subjects, His Majestie hath issued his declaration against the French, which followeth in these words ... by the Lord Lieutenant and Council, Ormonde.","1665 [1666]","Printed by John Crooke ... and are to be sold by Samuel Dancer ...,","eng","Anglo-French War, 1666-1667. Anglo-Dutch War, 1664-1667.","R36954","i951"
"A46213","Ireland. Lord Lieutenant (1661-1669 : Ormonde)","Whereas we have been necessarily occasioned to take especial notice, that His Majesties revenue arising by hearths, firing places and stoves within this kingdom, hath of late become very much impaired, and still continues deeply in arrear ... by the Lord Lieutenant and Council, Ormonde.","1666 [1667]","Printed by John Crooke ... and are to besold [sic] by Samuel Dancer ...,","eng","Hearth-money -- Ireland. Taxation -- Ireland.","R36979","I987"
"A46743","Jemmat, William, 1596?-1678.","A practical exposition of the historical prophesie of Jonah delivering sundry brief notes in a cursory way concerning the mind of the Holy Ghost in the several passages. Imprimatur. June 5. 1665.","1666.","printed by L. Miller for John Chandler, bookseller in Reading,","eng","Bible. -- O.T. -- Jonah -- Commentaries -- Early works to 1800.","R217032","J550B"
"A47095","Keach, Benjamin, 1640-1704.","Zion in distress, or, The sad and lamentable complaint of Zion and her children wherein are demonstrated the causes of her miserable calamities, and her faith in God ... : also shewing the dreadful controversie God hath with the beast of Rome ...","[1666]","Printed in the fatal year,","eng","","R18256","K108"
"A47367","Killigrew, Henry, 1613-1700.","A sermon preach'd before the king the first Sunday of Advent, 1666 by Henry Killigrew ...","1666.","Printed by Tho. Roycroft for Thomas Hacker,","eng","Advent sermons. Sermons, English -- 17th century.","R32441","K446"
"A47379","Killigrew, William, Sir, 1606-1695.","Fovr nevv playes viz : The seege of Vrbin, Selindra, Love and frienship, Tragy-comedies, Pandora, a comedy / written by Sr. William Killigrew ...","1666.","Printed by Hen. Hall ..., for Ric. Davis,","eng","","R17595","K458"
"A47545","Knight, Val. (Valentine)","Proposals of a new modell for re-building the City of London with houses, streets, and vvharfes, to be forthwith set out by His Majesties and the city surveyors : with the advantages that will accrew by building the same accordingly ...","1666.","Printed by T. Leach, for Samuel Speed ...,","eng","London (England) -- Fire, 1666. London (England) -- History -- 17th century.","R41646","K693"
"A47546","Knight, Val. (Valentine)","Proposals of a new modell for re-building the city of London with houses, streets, wharfes, to be forthwith set out by His Majesties and the city surveyors with the advantages that will accrue by building the same accordingly.","1666.","Printed by H. Bruges, for Samuel Speed ...,","eng","London (England) -- Fire, 1666. London (England) -- History -- 17th century.","R29936","K694"
"A47547","Knight, Val. (Valentine)","Proposals of a new model for rebuilding the city of London with houses, streets, and wharfs to be forthwith set out by His Majesty's and the city surveyors : with the advantages that will accrue by the building the same accordingly.","1666]","s.n.,","eng","London (England) -- Fire, 1666.","R25444","K694A"
"A47951","Leti, Gregorio, 1630-1701.","The life of Donna Olimpia Maldachini who governed the church during the time of Innocent the X, which was from the year 1644 to the year 1655 / written in Italian by Abbot Gualdi ; and faithfully rendred into English.","1666.","Printed by W.G. and are to be sold by Robert Littlebury...,","eng","Pamphili, Olimpia Maidalchini, 1594-1656. Innocent -- X, -- Pope, 1574-1655.","R12831","L1332"
"A48218","La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne), 1634-1693.","The princess of Monpensier written originally in French, and now newly rendered into English.","1666.","[s.n.],","eng","","R12636","L171"
"A48797","Lloyd, David, 1635-1692.","Wonders no miracles, or, Mr. Valentine Greatrates gift of healing examined upon occasion of a sad effect of his stroaking, March the 7, 1665, at one Mr. Cressets house in Charter-house-yard : in a letter to a reverend divine, living near that place.","1666.","Printed for Sam. Speed ...,","eng","Greatrakes, Valentine, 1629-1683. Quacks and quackery -- Early works to 1800.","R12386","L2649"
"A48909","Locke, Matthew, 1621 or 2-1677.","Modern church-musick pre-accus'd, censur'd and obstructed in its performance before His Majesty, Aprill 1, 1666 vindicated by the author, Matt. Lock ...","1666]","s.n.,","eng","Church music -- England -- Scores.","R203644","l2775"
"A49061","City of London (England).","By the mayor whereas in order to the re-building of the city ...","[1666]","Printed by James Flesher ...,","eng","City planning and redevelopment law -- England -- London. London (England) -- History -- 17th century.","R39661","L2885J"
"A49213","France. Sovereign (1643-1715 : Louis XIV)","The French Kings declaration of a vvar against England published in the manner expressed therein at Paris, 27 Jan. 1666 / translated out of French ...","1666.","Printed by Tho. Newcomb ...,","eng","France -- History -- Louis XIV, 1643-1715 -- Sources. France -- Foreign relations -- England.","R2482","L3112"
"A49471","Laney, Benjamin, 1591-1675.","A sermon preached before the King at White-Hall, March 18, 1665/6 by ... B. Lord Bishop of Lincoln.","1666.","Printed for Timothy Garthwait,","eng","Bible. -- N.T. -- Thessalonians, 1st, IV, 2 -- Sermons. Sermons, English -- 17th century.","R6221","l349"
"A49697","Lathom, Paul.","Christ crucified, or, The doctrine of the Gospel asserted against Pelagian and Socinian errours revived under the notion of new lights : wherein also the original, occasion and progress of errours are set down : and admonitions directed both to them that stand fast in the faith and to those that are fallen from it : unto which are added three sermons ... / by Paul Lathom.","1666.","Printed by Tho. Milbourn,","eng","Theology, Doctrinal -- Early works to 1800. Socinianism.","R25131","L572"
"A49793","Corporation of the Great Level of the Fens.","Laws, ordinances and decrees made upon Friday the twentieth day of July, 1666, and in the eighteenth year of the reign of our sovereign lord, Charles the Second ... by the right Honourable John, Lord Berkley, Richard, Lord Gorges, Thomas Chicheley, and Robert Hampson, Esq., four of the bailiffs of the Corporation of the Great Level of the Fens; John Russel, Esq., Sir Charles Harbord Kt., William Denton, Doctor in Physick, William Crane, Roger Jenyns, and John Bradborn, esquires, six of the conservators of the said corporation.","1666]","s.n.,","eng","Drainage -- England -- Fens, The. Reclamation of land -- England -- Fens, The.","R41461","l701b"
"A50075","Massachusetts.","Several lavvs and orders made at the General Court held at Boston, the 23d of May, 1666, and on the 11th of October following printed and published by order of the General Court, the said 11th of October, 1666, by Edward Rawson, secr.","1666]","Samuel Green,","eng","Law -- Massachusetts. Massachusetts -- History -- Colonial period, ca. 1600-1775.","R36915","m1020"
"A50520","Medbourne, M. (Matthew), d. 1679.","St. Cecily, or, The converted twins a Christian tragedy / written by E.M.","1666.","Printed by J. Streater,","eng","","","M1583B"
"A50704","","A merry and pleasant discourse betwixt Simple-wit, the tennant, and Mr. Money-love, the landlord. To the tune of, I am in love, and cannot tell with whom.","1666-1692]","printed for W. Thacery [sic], and W. Whitwood,","eng","Ballads, English -- 17th century.","R214174","M1849A"
"A50777","Mews, Peter, 1619-1706.","Exaltatio alæ The ex-ale-tation of ale / done into verse by T.C.P.","Anno Dom. 1666.","s.n.],","eng","Ale -- Humor.","R43452","M1955"
"A51130","Molloy, Charles, 1646-1690.","Hollands ingratitude, or, A serious expostulation with the Dutch shewing their ingratitude to this nation, and their inevitable ruine, without a speedy compliance and submission to His Sacred Majesty of Britain / by Charles Molloy of Lincolns-Inn, Gent.","1666.","Printed by T.J. for Fr. K. ...,","eng","Albemarle, George Monck, -- Duke of, 1608-1670 -- Poetry. Rupert, -- Prince, Count Palatine, 1619-1682 -- Poetry.","R7206","M2400"
"A51346","","More news from the fleet being a brief and true account of the late noble and heroick exploit, performed against the Dutch, on the 8th, 9th, and 10th of this present month of August, by Captain Sr. Robert Holmes, Sr. Philip Howard, and Sr. William Jennings ... tune is The King enjoyes his own again.","[between 1666 and 1688]","Printed for T. Passenger ...,","eng","Holmes, Robert, -- Sir, 1622-1692 -- Poetry. Ballads, English -- 17th century.","R43467","M2712AA VARIANT"
"A51369","Morgan, Sylvanus, 1620-1693.","Armilogia, sive, Ars chromocritica The language of arms by the colours & metals being analogically handled according to the nature of things, and fitted with apt motto's to the heroical science of herauldry in the symbolical world : whereby is discovered what is signified by every honourable partition, ordinary, or charge, usually born in coat-armour, and mythologized to the heroical theam [sic] of Homer on the shield of Achilles : a work of this nature never yet extant / by Sylvanus Morgan ...","1666.","Printed by T. Hewer for Nathaniel Brook ..., and Henry Eversden ...,","eng","Heraldry.","R16382","M2738"
"A51442","Mossom, Robert, d. 1679.","A narrative panegyrical of the life, sickness, and death, of George ... Lord Bishop of Derry in Ireland as it was delivered at his funerals in the Cathedral Church of the Holy Trinity (commonly called Christ Church) in Dublin on Friday the 12th of January, Anno Domini 1665/6 / by R. Mossom ...","1665/6 [i.e. 1666]","Printed by Tho. Newcomb, and are to be sold by Timothy Garthwait ...,","eng","Wilde, George, 1610-1665.","R14435","M2864 (VAR. ED.)"
"A51877","","A map or groundplott of the citty of London with the suburbes thereof so farr as the Lord Mayors iurisdication doeth extend by which is exactly demonstrated the present condition of it since the last sad accident of fire. The blanke space signifyng [sic] the burnt part & where the houses be those places yet standing. A⁰ 1666.","[1666]","Sould by Nathanael Brooke, in Gresham Colledge in the second yard as you go into the Exchange from Bishopsgate Street,","eng","London (England) -- Early works to 1800.","R224100","M560"
"A52005","Marmion, Shackerley, 1603-1639.","Cupid's courtship, or, The celebration of a marriage between the god of love and Psiche","1666.","Printed by E.O. for Thomas Dring,","eng","","R27550","M704"
"A52328","Nicole, Pierre, 1625-1695.","The pernicious consequences of the new heresie of the Jesuites against the King and the state by an advocate of Parliament.","1666.","Printed by J. Flesher, for Richard Royston ...,","eng","Jesuits -- England.","R16118","N1138"
"A52396","Kittle, Henry, defendant.","The Norffs president of persecution (unto banishment) against some of the innocent people call'd Quakers, for meeting in the name and fear of the Lord, or, A relation of the proceedings of the court at the quarter sessions holden at the castle in Norwich the 20 day of the 12. moneth call'd February, 1665 where Francis Cory, Recorder of the city of Norwich sat for judge with John Crafts, Dean of Norwich, with other justices of the peace (so called), upon Henry Kittle Jun., Edmund Rack, Richard Cockerel, and Robert Elden, call'd Quakers.","1666.","s.n.]","eng","Society of Friends -- England.","R15877","N1229"
"A52519","E. N.","Londons destroyer detected: and destruction lamented: or, some serious ruminations, and profitable reflections upon the late dreadful, dismal, and never-to-be-forgotten conflagration Wherein is briefly comprehended several things considerable, in order to Londons present recovery, and future prosperity.","printed in the year, 1666.","[s.n.],","eng","Fires -- England -- London -- Poetry -- Early works to 1800. London (England) -- Poetry -- Early works to 1800.","R224105","N13A"
"A53049","Newcastle, Margaret Cavendish, Duchess of, 1624?-1674.","Observations upon experimental philosophy to which is added The description of a new blazing world / written by the thrice noble, illustrious, and excellent princesse, the Duchess of Newcastle.","1666.","Printed by A. Maxwell ...,","eng","Philosophy, English -- 17th century. Voyages, Imaginary.","R32311","N857"
"A53272","Oldfield, John, 1627?-1682.","The first, last, or, The formal hypocrite further from salvation (as to the way of God's ordinary working) than the prophane sinner being the substance of several sermons preached in course at a lecture in the countrey / by J.O. ...","1666.","Printed for R. Boulter ...,","eng","Salvation -- Sermons. Sermons, English -- 17th century.","R17591","O219A"
"A53307","Oldisworth, Giles, 1619-1678.","The race set before us, shewing the necessity laid upon gospel-believers, to run with diligence thorow all gospel-duties. A sermon preached in London, May 11. 1665. at Mercers-Chappel, unto that most eminent company, the Company of the Mercers. By Giles Oldisworth, Master of Arts, and rector of Burton on the Hill, in Gloucester-shire.","1666.","printed by A: & L: Lichfield, printers to the University,","eng","Sermons, English -- 17th century.","R214468","O254"
"A53818","University of Oxford.","Orders concerning the rates and demands of carriers and their porters, for goods brought and conveyed betwixt the University of Oxford, and city of London","1666]","s.n.,","eng","University of Oxford -- History -- 17th century. Freight and freightage -- England -- Oxford -- Rates.","R41598","O903E"
"A53911","R. P.","London's lamentations: or, some affectionate breathings forth on London's late ruines by fire","1666.","printed for John Hancock , to be sold by him at his shop over against the church in Broad-street,","eng","Fires -- England -- London -- Early works to 1800. London (England) -- History -- Early works to 1800.","R222712","p102"
"A54027","Penington, Isaac, 1616-1679.","Concerning the church: or, of the church-state under the Gospel Whereby it may appear what a miserable apostacy from the truth hath overspread and covered the earth for many ages and generations, and how gross and thick the darkness yet lies upon it, though the light of God in his tender mercy hath broke forth and shined upon the people of his gathering, and through them hath also visited the world. The guidance of this in my heart, was particularly and chiefly towards the Papists, but I afterwards had a true sence, that it also extended to the state of such Protestants, as had not waited on the Lord, ... Written in Alisbury prison about the middle of the 6th month, 1666. By Issac Penington. Whereunto is annexed, Some observations upon the eternal judgment, as it is expressed by Christ, Mat.25.31 to the end of the chapter.","printed in the year, 1666.","[s.n.]","eng","Christian life -- Early works to 1800.","R224045","P1157"
"A54070","Penington, Isaac, 1616-1679.","To friends in England, Ireland, Scotland, Holland, New-England, Barbado's, or any where else where the Lord God shall order this to come, in the tender spirit of life and love, greeting","1666]","s.n.,","eng","Christian life. Salvation.","R22406","P1211"
"A54418","Perrinchief, Richard, 1623?-1673.","A sermon preached before the Honourable House of Commons, at St. Margarets Westminster, Nov. 7 being the fast-day appointed for the plague of pestilence / by Richard Perrinchief.","1666.","Printed by E.T. for Richard Royston ...,","eng","Sermons, English -- 17th century. Plague -- England -- London -- Sermons.","R18375","P1606"
"A54913","Carre, Thomas, 1599-1674.","Pietas Parisiensis, or, A short description of the pietie and charitie comonly [sic] exercised in Paris which represents in short, the pious practises of the whole Catholike Church / by Thomas Carre ...","1666.","By Vincent Du Moutier,","eng","Catholics -- France -- Paris.","R4309","P2273"
"A55322","England and Wales. Court of Exchequer.","The poll-bill, as to be given in charge","1666.","Printed by the assigns of John Bill and Christopher Barker ...,","eng","Poll tax -- Great Britain -- Early works to 1800.","R23420","p2772"
"A55387","Poole, Matthew, 1624-1679.","The nullity of the Romish faith, or, A blow at the root of the Romish Church being an examination of that fundamentall doctrine of the Church of Rome concerning the Churches infallibility, and of all those severall methods which their most famous and approved writers have used for the defence thereof : together with an appendix tending to the demonstration of the solidity of the Protestant faith, wherein the reader will find all the materiall objections and cavils of their most considerable writers, viz., Richworth (alias Rushworth) in his Dialogues, White in his treatise De fide and his Apology for tradition, Cressy in his Exomologesis, S. Clara in his Systema fidei, and Captaine Everard in his late account of his pretended conversion to the Church of Rome discussed and answered / by Matthevv Poole ...","1666.","Printed by Hen. Hall ... for Ric. Davis,","eng","Catholic Church -- Controversial literature. Catholic Church -- Infallibility.","R202654","P2843"
"A55410","Poor Robin.","Poor Robins Character of France, or, France painted to the life in a brief dialogue of the description of that nation, their manners, customs, complements, language, discourse &c. : as also, an exact character of the city of Paris, of their gentry, peasants, women &c. / by Poor Robin ...","1666.","[s.n.],","eng","France -- Description and travel. France -- Description and travel -- Early works to 1800.","R8615","P2878"
"A56039","Parke, James, 1636-1696.","To the flock of God every where gathered out of the worlds wayes, worships, and false separations, into the way of truth, worship of the spirit, and its pure guidance, where true satisfaction and peace is witnessed, that you all may keep there for there is your rest for ever, and your safety in time of your trouble; that none may gad or go astray out of the way of truth for the love of any thing: for such shall meet with tribulation, anguish and wrath from the Lord God Almighty.","1666]","s.n.,","eng","Society of Friends -- Apologetic works -- Early works to 1800.","R221400","P374"
"A56381","Parker, Samuel, 1640-1688.","An account of the nature and extent of the divine dominion & goodnesse especially as they refer to the Origenian hypothesis concerning the preexistence of souls together with a special account of the vanity and groundlesness of the hypothesis it self : being a second letter written to his much honoured friend and kinsman, Mr. Nath. Bisbie / by Sam. Parker ...","1666.","Printed by W. Hall for R. Davis,","eng","Pre-existence.","R22702","P454"
"A56390","Parker, Samuel, 1640-1688.","A free and impartial censure of the Platonick philosophie being a letter written to his much honoured friend Mr. N.B. / by Sam. Parker.","1666.","Printed by W. Hall, for Richard Davis,","eng","Platonists. Empiricism -- Early works to 1800.","R18216","P463"
"A57156","Reynolds, Edward, 1599-1676.","A sermon preached before the peers in the Abby Church at Westminster, November 7, 1666 being a day of solemn humiliation for the continuing pestilence / by Edward Lord Bishop of Norwich.","1666.","Printed by Tho. Ratcliffe for John Durham ...,","eng","Bible. -- N.T. -- Philippians IV, 5 -- Sermons. Plague -- Sermons.","R618","R1281"
"A57421","Robins, Thomas.","Mans chief guide to salvation wherein is laid down many good instructions and motives to stir up every poor soul, that he may be able in these sinfull days to withstand Satans assaults / by Thomas Robins.","1666.","Printed for T. Passenger ...,","eng","Christian life -- Anglican authors.","R29324","R1651"
"A57484","Rochefort, César de, b. 1605.","The history of the Caribby-islands, viz, Barbados, St Christophers, St Vincents, Martinico, Dominico, Barbouthos, Monserrat, Mevis, Antego, &c in all XXVIII in two books : the first containing the natural, the second, the moral history of those islands : illustrated with several pieces of sculpture representing the most considerable rarities therein described : with a Caribbian vocabulary / rendred into English by John Davies ...","1666.","Printed by J.M. for Thomas Dring and John Starkey, and are to be sold at their shops ...,","eng","Natural history -- West Indies. Carib Indians.","R16877","R1740"
"A57634","Rose, John, gardener.","The English vineyard vindicated by John Rose ... ; with an address where the best plants maybe had at easie rates.","1666.","Printed by J. Grismond for John Crook ...,","eng","Viticulture -- England -- Early works to 1800. Viticulture -- Early works to 1800.","R16258","R1935"
"A58440","Person of quality.","A relation of the defeating Card. Mazarine & Oliv. Cromwell's design to have taken Ostend by treachery in the year 1658 written in Spanish by a person of quality (who was a chief actor in the preventing of it) by way of letter to a friend of his presently after the businesse ; since printed in that language, and now translated into English.","1666.","Printed for Hen. Herringman,","eng","Ostend (Belgium) -- History. Belgium -- History -- 1648-1794.","R25098","R821"
